ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
32,"Which Republic Act is responsible for providing for a more responsive and comprehensive regulation for the practice, licensing, and registration of electrical engineers and electricians?",RA 7920,RA 4200,RA 9292,RA 7925,RA 7920
33,"What does RA 8747 primarily mandate regarding computer-based systems, products, and services in the context of the year 2000?",Mandatory reporting of financial statements,Disclosure of year 2000 readiness,Provision of cybersecurity services,Funding for computer-based systems,Disclosure of year 2000 readiness
34,What is the Republic Act number of the Philippine Year 2000 Disclosure and Readiness Act?,RA 8747,RA 9176,RA 9851,RA 10844,RA 8747
35,"Which Executive Order vested the jurisdiction, control, and regulation over the Philippine Communications Satellite Corporation with the National Telecommunications Commission in the Philippines?",EO 196,EO 100,EO 496,EO 29,EO 196
36,Which executive order mandates that radio stations with music content in the Philippines must play at least 4 Original Pilipino Music (OPM) songs every clock hour?,Executive Order No. 255,Executive Order No. 205,Executive Order No. 546,Executive Order No. 468,Executive Order No. 255
37,Which Presidential Decree is related to the regulation of the ownership and operation of radio and television stations in the Philippines?,Presidential Decree 576-A,Presidential Decree 1986,Presidential Decree 1987,Presidential Decree 576-R,Presidential Decree 576-A
38,Which departmental order pertains to the Rules And Regulations Governing the Low Power Ship Radiotelephone Service of the Philippine?,Department Order No. 6,Department Order No. 5,Department Order No. 87,Department Order No. 11,Department Order No. 87
39,"Which departmental order pertains to the General Rules and Regulations Governing the Construction, Installation, Establishment, and Operation of Radio Stations?",Department Order No. 6,Department Order No. 5,Department Order No. 23,Department Order No. 11,Department Order No. 11
40,Which departmental order pertains to the Rules and Regulations Governing Commercial Radio Operators?,Department Order No. 6,Department Order No. 5,Department Order No. 11,Department Order No. 23,Department Order No. 5
41,Which departmental order is related to the Rules and Regulations Governing Land Mobile Radio Service and its Operators?,Department Order No. 6,Department Order No. 5,Department Order No. 11,Department Order No. 23,Department Order No. 6
42,What is the title of the rules and regulations that oversee the Land Mobile Radio Service and its operators as outlined in Department Order No. 6?,Land Mobile Radio Service Standards,Regulations for Land Mobile Radio Operators,Land Mobile Radio Service and Operator Guidelines,Rules and Regulations Governing Land Mobile Radio Service and its Operators,Rules and Regulations Governing Land Mobile Radio Service and its Operators
43,Which presidential decree established the Videogram Regulatory Board (VRB) with the purpose of regulating the content of videograms and imposing taxes on the video industry?,Presidential Decree 1987,Presidential Decree 223,Presidential Decree 576-A,Presidential Decree 835-V,Presidential Decree 1987
44,Which Executive Order mandates the Professional Regulation Commission (PRC) to conduct 'Special Professional Licensure Board Examinations (SPLBE)' for qualified Overseas Filipino Workers (OFWs) in the Middle East?,Executive Order No. 835,Executive Order No. 109,Executive Order No. 255,Executive Order No. 223,Executive Order No. 835
45,Which executive order regulates the operation of Cable Antenna Television (CATV) Systems in the Philippines?,EO 205,EO 223,EO 436,EO 109,EO 205
46,Which government order mandates the installation of the Global Positioning System (GPS)?,DOTC DO No. 2001-46,DICT DO No. 87,NTC MC No. 2001-47,EO No. 227,DOTC DO No. 2001-46
47,Which executive order outlines the national policy for the operation and utilization of international satellite communications within the country?,EO 467,EO 223,EO 205,EO No. 227,EO 467
48,"Which set of rules and regulations mandates the requirement of the services of duly registered ECEs in the planning and designing, installation or construction, operation, and maintenance of radio stations, as well as in the manufacture and/or modification of radio communications equipment?",Department Order No. 88,Department Order No. 05,Department Order No. 23,Department Order No. 11,Department Order No. 88
49,Which Executive Order pertains to the policy aimed at improving the provision of Local Exchange Carrier Service in the Philippines?,Executive Order No. 109,Executive Order No. 205,Executive Order No. 436,Executive Order No. 546,Executive Order No. 109
50,"Which administrative order, issued by the Department of Health, pertains to 'Radiation Protection Standards for Radiofrequency Radiation in the Frequency Range 3 kHz to 300 GHz'?",Administrative Order No. 175,Administrative Order No. 69,Administrative Order No. 109,Administrative Order No. 330,Administrative Order No. 175
51,Which decree established the Movie and Television Review and Classification Board in the Philippines?,Presidential Decree 1986,Presidential Decree 576-A,Presidential Decree 1996,Presidential Decree 1987,Presidential Decree 1986
52,Which National Telecommunications Commission Memorandum Circular mandates that unmanned radio stations must be operated and maintained with the direct supervision of a registered ECE.,NTC MC No. 11-89,NTC MC 05-12-2017,NTC MC No. 09-09-2003,NTC MC No. 07-04-99,NTC MC No. 07-04-99
53,"According to NTC MC No. 07-04-99, how are 'unmanned radio stations' defined?",Radio stations with advanced automation systems.,Radio stations operated entirely by robots.,Radio stations that only require human intervention for power supply control.,Radio stations without any automation systems.,Radio stations that only require human intervention for power supply control.
54,Which National Telecommunications Commission Memorandum Circular allows ECE graduates to take the commercial radiotelephone operator's examination?,NTC MC No. 11-89,NTC MC No. 09-11-2016,NTC MC No. 09-09-2003,NTC MC No. 5-13-88,NTC MC No. 11-89
55,Which joint memorandum circular by NTC-DICT-DTI prescribes a one-year expiration period for prepaid loads?,NTC-DICT-DTI JOINT MC 05-12-2017,NTC-DICT-DTI JOINT MC 05-12-2018,NTC-DICT-DTI JOINT MC 05-12-2020,NTC-DICT-DTI JOINT MC 05-12-2015,NTC-DICT-DTI JOINT MC 05-12-2017
56,"Which Memorandum Circular, released by the National Telecommunications Commission, pertains to the Interconnection Charge for Voice Service?",NTC MC No. 09-11-2016,NTC MC No. 01-01-2009,NTC MC No. 03-06-2016,NTC MC No. 03-04-2018,NTC MC No. 09-11-2016
57,Which Memorandum Circular was released by the National Telecommunications Commission concerning Wireless Data Networks and Devices?,MC No. 09-09-2003,MC No. 04-06-2016,MC No. 03-06-2016,MC No. 01-01-2009,MC No. 09-09-2003
58,Which Memorandum Circular was released by the National Telecommunications Commission for the re-allocation of the 470-512 MHz band for Digital Terrestrial Television Broadcasting Service in the Philippines?,MC 04-06-2016,MC 03-08-2012,MC 03-06-2016,MC 01-02-2018,MC 04-06-2016
59,Which Memorandum Circular released by the National Telecommunications Commission covers the Rules on the Measurement of Mobile Broadband/Internet Access Service?,MC No. 10-12-2016,MC No. 09-11-2016,MC No. 02-04-2017,MC No. 01-02-2018,MC No. 10-12-2016
60,"Which Memorandum Circular released by the National Telecommunications Commission pertains to the Implementing Rules and Regulations of MC No. 04-06-2016, which is about the Re-Allocation of the 470-512 MHz Band for Digital Terrestrial Television Broadcasting (DTTB) Service in the Philippines?",MC No. 01-02-2018,MC 02-12-2020,MC 02-04-2017,MC No. 03-04-2018,MC No. 01-02-2018
61,"Which Memorandum Circular, issued by the National Telecommunications Commission, designates the use of the code '911' as the exclusive emergency hotline number in the Philippines?",MC 03-12-2020,MC 02-12-2020,MC 02-04-2017,MC 03-06-2019,MC 03-12-2020
62,"Which Memorandum Circular, issued by the National Telecommunications Commission, pertains to the assignment of service prefix '89X' to cellular mobile telephone service?",MC 02-12-2020,MC 03-12-2020,MC 02-04-2017,MC 03-06-2019,MC 02-12-2020
63,"Which Memorandum Circular, issued by the National Telecommunications Commission, pertains to the Rules and Regulations for implementing Republic Act No. 11202, also recognized as the 'Mobile Number Portability Act'?",MC 03-06-2019,MC 03-12-2020,MC 02-12-2020,MC 02-04-2017,MC 03-06-2019
64,"Which Memorandum Circular, released by the National Telecommunications Commission, permits the use of unassigned and unused allocated TV broadcast channels (TV White Space) on a secondary and non-interference basis?",MC 02-04-2017,MC 02-12-2020,MC 03-12-2020,MC 03-06-2019,MC 02-04-2017
65,"Which Memorandum Circular, issued by the National Telecommunications Commission, relates to additional frequency allocations for Broadband Wireless Access (BWA)?",MC 01-02-2018,MC 02-02-2018,MC 03-12-2020,MC 03-06-2019,MC 02-02-2018
66,"Which Memorandum Circular, issued by the National Telecommunications Commission, provides guidelines for the licensing of Shipborne Long Range Identification And Tracking (LRIT) Equipment?",MC No. 01-01-2009,MC No. 09-09-2003,MC No. 11-09-2004,MC No. 05-08-2005,MC No. 01-01-2009
67,"Which Memorandum Circular, issued by the National Telecommunications Commission, pertains to the Mandatory Taping Of Radio & Television Programs?",MC 11-09-2004,MC 01-01-2009,MC 03-12-2020,MC 03-06-2019,MC 11-09-2004
68,Which NTC Memorandum Circular relates to the Revised Amateur Radio Regulations?,MC 03-08-2012,MC 05-12-2015,MC 09-11-2014,MC 02-04-2017,MC 03-08-2012
69,Which NTC Memorandum Circular specifies the Rules and Regulations on the allocation and assignment of 3G Radio Frequency Bands in the Philippines?,NTC MC No. 07-08-2005,NTC MC No. 11-09-2004,NTC MC No. 05-08-2005,NTC MC No. 02-04-2017,NTC MC No. 07-08-2005
70,Which Memorandum Circular was published by the National Telecommunications Commission pertaining to Multiple Gigabit Wireless Systems (MGWS) operating in the 60 GHz frequency range?,MC 07-08-2005,MC 11-09-2004,MC 05-08-2005,MC 01-01-2016,MC 01-01-2016
71,"What is the official designation of the Memorandum Circular outlining the Guidelines for Granting and Authorizing 500 Watt FM Broadcast Stations, as released by the National Telecommunications Commission?",MC 07-08-2005,MC 02-06-2006,MC 05-08-2005,MC 01-01-2016,MC 02-06-2006
72,"What is the Memorandum Order number issued by the NTC that requires Public Telecommunications Entities (PTEs) in the '02' local exchange area to transition from seven (7) digit telephone numbers to 8-digit telephone numbers, rather than 9-digit telephone numbers?",Memorandum Order No. 17-10-2010,Memorandum Order No. 10-10-2017,Memorandum Order No. 02-08-2019,Memorandum Order No. 08-02-2021,Memorandum Order No. 10-10-2017
73,"Which Memorandum Circular number, issued by the NTC, pertains to the adoption and execution of Annex 2, Appendix 17 of the Radio Regulations, focusing on frequency and channeling arrangements within the high frequency bands for the Maritime Service?",NTC MC 16-08-2008,NTC MC 08-08-2016,NTC MC 17-08-2012,NTC MC 06-12-2016,NTC MC 08-08-2016
74,Which NTC Memorandum Circular number pertains to the allocation of radio frequencies for the Cellular Mobile Telephone Service in the Philippines?,NTC MC 16-08-2008,NTC MC 09-03-2000,NTC MC 09-03-2009,NTC MC 06-12-2016,NTC MC 09-03-2000
75,Which regulatory measure extended the FM broadcast band to the frequency range of 87.5 - 108.0 MHz?,NTC MC No. 10-11-2001,NTC MC No. 5-7-1998,NTC MC No. 12-15-2005,NTC MC No. 3-9-1999,NTC MC No. 10-11-2001
76,Which NTC Memorandum Circular pertains to Fixed Wireless Systems operating in the 71-76 GHz and 81-86 GHz bands?,NTC MC No. 07-08-2016,NTC MC No. 10-11-2001,NTC MC No. 12-15-2005,NTC MC No. 3-9-1999,NTC MC No. 07-08-2016
77,In which frequency bands is the use and operation of Radio Frequency Identification (RFID) regulated by NTC Memorandum Circular No. 03-08-2006?,"13.553-13.567 MHz, 918-920 MHz, and 2446-2454 MHz",2.4 GHz and 5 GHz,"800-900 MHz, 144-146 MHz","1800-1900 MHz, 2.1-2.4 GHz","13.553-13.567 MHz, 918-920 MHz, and 2446-2454 MHz"
78,What is the subject matter of Memorandum Circular 05-11-2013 released by the National Telecommunications Commission?,Standard for Internet Services,Standard for Cable Television,Standard for Digital Terrestrial Television (DTT) Broadcast Service,Standard for Radio Broadcasting,Standard for Digital Terrestrial Television (DTT) Broadcast Service
79,"According to NTC MC No. 7-4-99, what term is used to describe radio stations that do not require human intervention except for turning the power supply on and off?",Automated radio stations,Self-operating radio stations,Digital radio stations,Unmanned radio stations,Unmanned radio stations
80,What does NTC Memorandum Circular 04-08-2015 specifically address in the field of frequency allocation?,Frequency allocation for radio broadcasting,Frequency allocation for emergency services,Frequency allocation for telemetry and similar data systems,Frequency allocation for satellite communication,Frequency allocation for telemetry and similar data systems
81,Which document governs the registration and licensing of Satellite Television Receive Only (TVRO) systems in the Philippines?,NTC MC No. 03-01-91,NTC MC No. 1991-03,RA No. 3191,TVRO Law of 1991,NTC MC No. 03-01-91
82,Which document is related to the modification of Frequency Allocation for the use of the band 136-137 MHz by the Aeronautical Mobile Service in the Philippines?,NTC MC No. 26-89,NTC MC No. 16-89A,NTC Frequency Allocation Act No. 1989,NTC Aviation Regulation No. 1989,NTC MC No. 26-89
83,Which Memorandum Circular issued by the National Telecommunications Commission pertains to Voice Over Internet Protocol (VOIP)?,Memorandum Circular No. 05-08-2005,Memorandum Circular No. 03-01-1991,Memorandum Circular No. 08-08-2016,Memorandum Circular No. 10-11-2001,Memorandum Circular No. 05-08-2005
84,Which NTC Memorandum Circular provides guidelines for the cablecasting of CATV channels with 'Chatroom' formats in the Philippines?,NTC MC No. 10-11-2005,NTC MC No. 07-08-2016,NTC MC No. 05-10-2011,NTC MC No. No. 10-11-2001,NTC MC No. 10-11-2005
85,Which memorandum circular pertains to the Data Log Retention of Telecommunications Traffic in the Philippines?,NTC MC No. 04-06-2007,NTC MC No. 09-06-2007,NTC MC No. 06-06-2007,NTC MC No. 08-06-2007,NTC MC No. 04-06-2007
86,"Which Memorandum Circular, issued by the National Telecommunications Commission, provides guidelines on Electronic Billing (E-Billing) in the Philippines?",NTC MC No. 03-04-2018,NTC MC No. 05-08-2005,NTC MC No. 10-11-2005,NTC MC No. 04-06-2007,NTC MC No. 03-04-2018
87,Which of the following are covered by Research and Development (R&D)?,"Systems analyses, coordination, and evaluation of quality control programs in business and industrial establishments.","Improvement of electronics products or systems to enhance reliability, usability, and cost-effectiveness.",Formulation and development of new electronics products or systems from conceptualization to utilization and commercialization.,All of the choices,All of the choices
88,"What activity entails fixing and/or substituting malfunctioning components, equipment, and accessories?",Preventive Maintenance,Corrective Maintenance,Adaptive Maintenance,Routine Maintenance,Corrective Maintenance
89,What does 'Corrective Maintenance' entail?,Preventive repairs,Regular replacements,"Troubleshooting and fixing faulty components, equipment, and accessories",Routine inspections,"Troubleshooting and fixing faulty components, equipment, and accessories"
90,"What term is used to describe any reference or presentation of a recognizable product or service during a program or in the credits, excluding traditional advertisements or commercials?",Occasional Advertisements,Informal Promotions,Unplanned Marketing,Casual Plugs,Casual Plugs
91,What does the acronym CPCN represent?,Corporate Public Certification Notice,Certificate of Public Convenience and Necessity,Centralized Public Compliance Network,Certified Public Contract Negotiation,Certificate of Public Convenience and Necessity
92,What do you call the proper upkeep of electronics systems and equipment so as to attain maximum safety and meet the desired grade of service?,Safety assessment,Electronics calibration,System preservation,Maintenance,Maintenance
93,"What is the term for services that offer enhancements beyond what is typically provided by local exchange and inter-exchange operators, as well as overseas carriers through circuit switched networks?",Premium services,Supplementary services,Advanced network services,Value-added services,Value-added services
94,"In the field of radio and TV broadcasting, what serves as the primary source of information for certificates of performance (CP's) and billing invoices in network operations?",Superior evidence,Commercial placements,On-air activities,Standard procedures,On-air activities
95,"Within the realm of radio and television broadcasting, what is the term used to describe a log that accurately records on-air activities, including program and commercial placements, and serves as the primary reference for certificates of performance (CP's) and billing invoices, except when challenged by stronger evidence?",Network Records,Operation Journals,Standard Logs,Station Logs,Station Logs
96,What is the name of the set of guidelines and standards that member radio and television stations are expected to adhere to regarding their performance and ethical conduct?,Broadcast Principles,Station Guidelines,KBP's Broadcast Code,Media Regulations,KBP's Broadcast Code
97,What is the term for a protective device that limits transient voltages by diverting or limiting surge current and prevents the continued flow of follow current while remaining capable of repeating these functions?,Transient Voltage Surge Suppressor,Voltage Regulator,Circuit Breaker,Transformer,Transient Voltage Surge Suppressor
98,"What is the term for an overcurrent protective device that includes a control module for current sensing, electronically derived time-current characteristics, energy supply for tripping initiation, and an interrupting module to break the circuit when overcurrent is detected?",Electronic Circuit Breaker,Electronically Actuated Fuse,Current Limiter Switch,Overload Relay,Electronically Actuated Fuse
99,Whose effective supervision is responsible for the operation and maintenance of any broadcasting system or network?,Registered Electronics Engineer,First Class Radiotelephone operator,Class A Amateur Radio Operator,Registered Electrical Engineer,Registered Electronics Engineer
100,What is the internationally recognized emergency procedure word used as a distress signal in voice procedure radio communications?,SOS,Emergency,Mayday,Distressia,Mayday
101,"What term describes the provision of voice communication using Internet Protocol (IP) technology, as opposed to traditional circuit-switched technology?",VOIP Service,VOD Service,Streaming Voice Service,Cloud Voice Communication,VOIP Service
102,What is the term for a station that receives sound and video signals directly from a satellite?,TVRO Station,DBS Station,VSAT Station,FSS Station,TVRO Station
103,Which organization is the world's largest developer and publisher of International Standards?,ISO,BICSI,IEEE,TIA,ISO
104,"What term describes a set of learning activities accredited by the CPD Council, including seminars, workshops, technical lectures, non-degree training lectures, and more, aimed at equipping professionals with advanced knowledge, skills, and values in specialized fields, self-directed research, and lifelong learning?",CPD Program,Lifelong Learning Program,Philippine Qualifications Framework,Post-Graduate Studies Program,CPD Program
105,"According to National Telecommunications Commission MC 09-09-2003 (Wireless Data Networks and Devices), how is a radio equipment/station classified when it has an effective radiated power exceeding 250mW?",Indoor Equipment/Radio Station,Outdoor Equipment/Radio Station,Mobile Equipment/Radio Station,Fixed Equipment/Radio Station,Outdoor Equipment/Radio Station
106,"Which professional association is known for spearheading technology advancement and overseeing standards such as Ethernet Standards (802.3), Power over Ethernet (802.3af), and Wireless Local Area Networks (802.11)?",IEEE,ISO,USB-IF,Wi-Fi Alliance,IEEE
107,"Which radio frequency bands, as designated by the International Telecommunications Union (ITU), have been reallocated for international mobile telecommunications (IMT2000) or 3G mobile telecommunications use in the Philippines and are now included in the National Radio Frequency Allocation Table (NRFAT)?",825 - 845MHz,1710 - 1770MHz,2110 - 2170MHz,All of the choices,All of the choices
108,"What term is used to describe any individual, company, partnership, government entity, or private organization that offers telecommunications services to the public in exchange for payment?",Telecommunications service provider,Public telecommunications entity,Telecommunications compensation firm,Government telecommunications agency,Public telecommunications entity
109,Which of the following is NOT a benefit of the PQF Act?,"It provides a common language for describing qualifications, making it easier for employers and educational institutions to understand the skills and knowledge that individuals have acquired.",It supports lifelong learning by making it easier for individuals to move between different education and training sectors and to progress to higher levels of qualification.,It enhances the mobility of workers by making it easier for their qualifications to be recognized across different countries.,It reduces the cost of education and training.,It reduces the cost of education and training.
110,What is the purpose of the Philippine Qualifications Framework (PQF) Act?,To make education more expensive.,To make it easier for employers and educational institutions to understand the skills and knowledge that individuals have acquired.,To reduce the cost of education and training.,To make it more difficult for individuals to move between different education and training sectors.,To make it easier for employers and educational institutions to understand the skills and knowledge that individuals have acquired.
111,Which Republic Act institutionalized the Philippine Qualifications Framework (PQF) in the Philippines?,RA 10968,RA 10531,RA 9155,RA 7796,RA 10968
112,"What is the official document that pertains to the 'Adoption, Issuance, and Promulgation of the Enhanced Tables of Specifications for the Subjects in the Electronics Engineers Licensure Examination?",Board of Electronics Engineering Resolution No. 5 Series of 2021,Board of Electronics Engineering Resolution No. 7 Series of 2019,Board of Electronics Engineering Resolution No. 10 Series of 2022,Board of Electronics Engineering Resolution No. 3 Series of 2018,Board of Electronics Engineering Resolution No. 10 Series of 2022
113,When were the 'Enhanced Tables of Specifications for the subjects in the Electronics Engineers Licensure Examinations' finalized?,"May 5, 2029","April 15, 2021","June 20, 2022","February 7, 2020","June 20, 2022"
114,On what date was the 'Enhanced Tables of Specifications for the subjects in the Electronics Engineers Licensure Examinations' published in the Business Mirror?,"March 10, 2023","June 20, 2022","July 01, 2022","November 15, 2021","July 01, 2022"
115,"According to Professional Regulatory Board of Electronics Engineering Resolution No. 2018-06 (Operational Guidelines in the Implementation of RA 10912, Otherwise known as 'Continuing Professional Development Act of 2016' for Electronics Engineers), what is the minimum CPD credit units required for the renewal of a PECE Professional Identification card?",40 Credit Units,45 Credit Units,20 Credit Units,30 Credit Units,40 Credit Units
116,"According to the provisions outlined in Professional Regulatory Board of Electronics Engineering Resolution No. 2018-06 (Operational Guidelines in the Implementation of RA 10912, Otherwise known as 'Continuing Professional Development Act of 2016' for Electronics Engineers), what is the minimum count of CPD credit units necessary for the renewal of the ECE Professional Identification card?",40 Credit Units,45 Credit Units,20 Credit Units,30 Credit Units,45 Credit Units
117,"According to Professional Regulatory Board of Electronics Engineering Resolution No. 2018-06 (Operational Guidelines in the Implementation of RA 10912, Otherwise known as 'Continuing Professional Development Act of 2016' for Electronics Engineers), what is the minimum CPD credit unit requirement for the renewal of the ECT Professional Identification card?",40 Credit Units,45 Credit Units,20 Credit Units,30 Credit Units,20 Credit Units
118,"What term is used to describe the process of instilling advanced knowledge, skills, and ethical values in a specialized area of study or across multiple disciplines after obtaining a professional license, with the aim of integrating these elements into professional practice, self-directed research, and lifelong learning?",Ongoing Professional Training,Career Enhancement Program,Continuing Professional Development,Lifelong Learning Initiative,Continuing Professional Development
119,What does the acronym CMTS stand for in the context of mobile telecommunications?,Cellular Mobile Telephone Service,Cellular Mobile Telegraph System,Central Mobile Telephone Service,Cellular Mobile Telecommunication System,Cellular Mobile Telephone Service
120,For what age group are TV stations encouraged to schedule regular children's programs?,6 years and under,12 years and under,18 years and under,21 years and under,12 years and under
121,The practice of Electronics Engineering relates to the development and application of electronics engineering science and technology in which field?,All of the choices,Consultation,Design,Research and Development,All of the choices
122,"What is the term used to describe the process of running or managing an electronics system, network, services, and peripheral facilities intended for the transmission, reception, and delivery of intelligence through various media?",Maintenance,Operation,Infrastructure,Innovation,Operation
123,"Which government agency was created under Executive Order No. 546, promulgated on July 23, 1979?",NTC,CSC,DOTC,PRC,NTC
124,What percentage of a TV station's daily airtime should be devoted to programs suitable for viewing by children?,At least five percent,Ten percent,At least fifteen percent,Twenty percent,At least fifteen percent
125,In which type of circuits shall Transient Voltage Surge Suppressor (TVSS) devices not be installed?,Circuits exceeding 120 volts,Circuits exceeding 240 volts,Circuits exceeding 480 volts,Circuits exceeding 600 volts,Circuits exceeding 600 volts
126,"What term is used to describe a person in the Philippines who is registered and licensed to practice a regulated profession, and holds a valid Certificate of Registration and Professional Identification Card (PIC) from the Professional Regulation Commission (PRC)?",Practitioner,Expert,Professional,Licensee,Professional
127,Which government agency is tasked with regulating the telecommunications industry in the Philippines?,Department of Information and Communications Technology,Department of Telecommunications,National Telecommunications Commission,Telecommunications Regulatory Bureau,National Telecommunications Commission
128,What is the competency-based education and training system in the Philippines that is tailored to meet labor-market needs and offers unskilled Filipinos opportunities for decent employment and personal growth?,Technical and Vocational Education and Training,TESDA National Certification,CHED Training and Certification,CSC Certification,Technical and Vocational Education and Training
129,"What is the program at the tertiary level in the Philippines that comprehensively assesses and grants recognition, accreditation, and equivalencies for knowledge, skills, attitudes, and values acquired through relevant work experience?",ETEEAP,TVET,TESDA,CSC,ETEEAP
130,What is the foreign ownership limit for companies seeking to apply for a Certificate of Public Convenience and Necessity or authorization in the National Telecommunications Commission in the Philippines?,Foreign ownership is limited to 40%,Foreign ownership is limited to 50%,Foreign ownership is limited to 55%,Foreign ownership is limited to 60%,Foreign ownership is limited to 40%
131,What is the term for a device that transmits an interrogating/querying signal to an RFID tag and receives unique information from the tag?,RFID responder,Proximity tag,Proximity reader,RFID encoder,Proximity reader
132,What does the acronym BICSI stand for?,Business Information and Communications Systems Institute,Building Industry Consulting Service International,Broadband Internet and Communications Systems Institution,Basic Information and Computer Systems Integration,Building Industry Consulting Service International
133,BICSI is a professional association supporting the advancement of which profession?,Information Technology,Information and Communications Technology,Information and Technology Infrastructure Library,Project Management Professional,Information and Communications Technology
