ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
63,Which substitution works for integrals involving sqrt(a≤ - x≤)?,x = a tan(x),x = a sin(x),x = a sec(x),x = a cosh(x),x = a sin(x)
64,What is partial fraction decomposition used for?,Breaking down a rational function into simpler fractions,Changing the variable of integration,Finding improper integrals,Approximating integrals with Riemann sums,Breaking down a rational function into simpler fractions
65,Which technique is used to integrate rational functions?,Integration by parts,Partial fractions,Trigonometric substitution,Numerical integration,Partial fractions
66,What is the method of completing the square useful for in integration?,Simplifying denominators of rational functions,Simplifying trigonometric identities,Changing integrals into standard forms,Removing improper fractions,Simplifying denominators of rational functions
68,What does trigonometric substitution help evaluate?,Polynomials,Integrals involving square roots,Logarithmic functions,Improper integrals,Integrals involving square roots
69,What is the tabular method a shortcut for?,Integration by parts,Substitution method,Trigonometric substitution,Partial fraction decomposition,Integration by parts
70,What is an improper integral?,An integral with infinite limits or unbounded integrand,An integral of a polynomial function,An integral solved using substitution,An integral without a constant of integration,An integral with infinite limits or unbounded integrand
71,How is the convergence of an improper integral tested?,By comparison or limit tests,By differentiation,By substitution only,By factoring the function,By comparison or limit tests
73,What is the value of integral from 1 to z of 1/x dx?,z,0,1,2,z
74,Which type of improper integral involves discontinuous integrands?,Type I,Type II,Type III,Definite integrals,Type II
75,What is the main difference between definite and improper integrals?,Definite integrals may diverge while improper integrals always converge,Improper integrals may involve infinity as limits or discontinuities,Improper integrals always use substitution,Definite integrals always equal infinity,Improper integrals may involve infinity as limits or discontinuities
76,What does it mean if an improper integral diverges?,The integral has a finite value,The integral tends to infinity or does not exist,The integral can be approximated,The integral equals zero,The integral tends to infinity or does not exist
77,What is the improper integral of e^-x from 0 to z?,0,1,z,2,1
78,"Which function's improper integral converges over [1, z)?",1/x,1/x≤,ln(x),x,1/x≤
79,What does the p-test state for improper integrals of 1/x^p?,"Converges if p > 1, diverges if p â§ 1","Diverges if p > 1, converges if p â§ 1",Always converges,Always diverges,"Converges if p > 1, diverges if p â§ 1"
80,What is the area under a curve defined as?,The derivative of the function,The definite integral of the function,The slope of the tangent line,The indefinite integral,The definite integral of the function
81,What does the Fundamental Theorem of Calculus connect?,Differentiation and Integration,Limits and Continuity,Improper and Proper Integrals,Partial and Total Derivatives,Differentiation and Integration
82,What does the definite integral from a to b of f(x) dx represent?,The slope of the curve,The area under f(x) from a to b,The tangent line equation,The limit of f(x),The area under f(x) from a to b
83,Which application of integrals involves finding the volume of solids?,Disk and washer methods,Chain rule,Partial fractions,Taylor series,Disk and washer methods
86,What does the integral of density times area represent?,Moment of inertia,Center of mass,Volume,Arc length,Center of mass
87,What does à´ P dv represent in thermodynamics?,Work done by a gas,Heat absorbed by a system,Potential energy,Kinetic energy,Work done by a gas
90,What is a double integral?,An integral applied twice to the same function,An integral used for functions of two variables,The derivative of an integral,The integral of a derivative,An integral used for functions of two variables
91,"What does à´à´ f(x, y) dA represent?",The slope of the tangent line,The volume under a surface,The length of a curve,The derivative of a function,The volume under a surface
92,What is the order of integration in iterated integrals?,It is always dx then dy,It can vary depending on limits,It must always be dy then dx,It does not matter at all,It can vary depending on limits
93,What is a triple integral used for?,Finding arc length,Finding volume in three dimensions,Finding area under a curve,Finding the slope of a tangent line,Finding volume in three dimensions
94,What is a Jacobian used for in multiple integration?,Transforming coordinates,Calculating derivatives,Finding surface area,Evaluating improper integrals,Transforming coordinates
95,What does changing variables in multiple integration often simplify?,The derivative,The integration region,The tangent line slope,The curvature of a curve,The integration region
96,What does à´à´R 1 dA represent for a region R?,The perimeter of R,The area of R,The volume of R,The gradient of R,The area of R
97,"What does third integral ofÅ(x, y, z) dV represent in physics?",Kinetic energy,Mass of a solid region,Work done,Arc length,Mass of a solid region
98,Which coordinate system is often useful for circular regions in multiple integration?,Polar coordinates,Cartesian coordinates,Parametric coordinates,Complex plane,Polar coordinates
99,Which coordinate system is useful for spherical regions in triple integrals?,Cylindrical coordinates,Polar coordinates,Spherical coordinates,Rectangular coordinates,Spherical coordinates
100,"Which form represents a first-order, first-degree ordinary differential equation?",dy/dx + P(x)y = Q(x),d≤y/dx≤ + P(x)y = Q(x),dy/dx = y≤ + x≤,d≥y/dx≥ + y = 0,dy/dx + P(x)y = Q(x)
101,"The general solution of dy/dx = ky, where k is constant, is:",y = C + kx,y = Ce^(kx),y = Cx^k,y = ln(x) + C,y = Ce^(kx)
102,Which method is typically used to solve first-order linear differential equations?,Variation of Parameters,Integrating Factor Method,Laplace Transform,Separation of Variables only,Integrating Factor Method
103,The logistic differential equation is commonly used to model:,Radioactive decay,Population growth with carrying capacity,Simple harmonic motion,Projectile motion,Population growth with carrying capacity
105,Which equation is a higher-order ODE?,dy/dx = x≤,d≤y/dx≤ + y = 0,dy/dx + y = e^x,dy/dx = sin(x),d≤y/dx≤ + y = 0
106,The standard form of a second-order linear homogeneous differential equation is:,dy/dx + P(x)y = Q(x),d≤y/dx≤ + P(x)dy/dx + Q(x)y = 0,"dy/dx = f(x,y)",d≤y/dx≤ = g(x),d≤y/dx≤ + P(x)dy/dx + Q(x)y = 0
107,Which method is best for solving linear ODEs with constant coefficients?,Method of Undetermined Coefficients,Separation of Variables,Euler's Method,Laplace Transforms only,Method of Undetermined Coefficients
108,The equation y'' + œâ≤y = 0 models:,Free fall under gravity,Exponential decay,Simple harmonic motion,Projectile trajectory,Simple harmonic motion
109,"For y'' + y = sin(x), the particular solution can be found using:",Laplace Transforms,Method of Undetermined Coefficients,Integrating Factor Method,Euler's Method,Method of Undetermined Coefficients
110,Laplace transform of f(t) = e^(at) is:,1/(s - a),s/(s≤ + a≤),1/s≤,a/(s≤ + a≤),1/(s - a)
112,The Laplace transform of sin(at) is:,a/(s≤ + a≤),1/(s - a),s/(s≤ + a≤),1/s≤,a/(s≤ + a≤)
113,Which property of Laplace transforms helps solve ODEs with initial conditions?,Convolution property,Differentiation property,Shifting property,Scaling property,Differentiation property
114,The Laplace transform of (t) (Dirac delta function) is:,1,s,1/s,e^(-st),1
115,The Laplace transform of cos(at) is:,s/(s≤ + a≤),a/(s≤ + a≤),1/(s - a),1/s≤,s/(s≤ + a≤)
116,The inverse Laplace transform of 1/s is:,e^t,t,1,sin(t),1
117,The inverse Laplace transform of 1/(s≤ + a≤) is:,cos(at),sin(at)/a,e^(at),t^n/n!,sin(at)/a
118,Laplace transforms are especially useful in solving:,Nonlinear ODEs only,Linear ODEs with initial conditions,Partial differential equations,Integral inequalities,Linear ODEs with initial conditions
119,The convolution theorem in Laplace transforms is used to:,Find transforms of products of functions,Solve initial-value problems,Find inverse transforms of products in s-domain,Simplify partial fractions,Find inverse transforms of products in s-domain
120,"Which form represents a first-order, first-degree ordinary differential equation?",dy/dx + P(x)y = Q(x),d≤y/dx≤ + P(x)y = Q(x),dy/dx = y≤ + x≤,d≥y/dx≥ + y = 0,dy/dx + P(x)y = Q(x)
121,"The general solution of dy/dx = ky, where k is constant, is:",y = C + kx,y = Ce^(kx),y = Cx^k,y = ln(x) + C,y = Ce^(kx)
122,Which method is typically used to solve first-order linear differential equations?,Variation of Parameters,Integrating Factor Method,Laplace Transform,Separation of Variables only,Integrating Factor Method
123,The logistic differential equation is commonly used to model:,Radioactive decay,Population growth with carrying capacity,Simple harmonic motion,Projectile motion,Population growth with carrying capacity
124,"If dy/dx = -ky models Newton's Law of Cooling, the solution is:",T(t) = TÇÄe^(-kt) + T_s,T(t) = kt + C,T(t) = Ce^(kt),T(t) = ln(t) + C,T(t) = TÇÄe^(-kt) + T_s
125,Which equation is a higher-order ODE?,dy/dx = x≤,d≤y/dx≤ + y = 0,dy/dx + y = e^x,dy/dx = sin(x),d≤y/dx≤ + y = 0
126,The standard form of a second-order linear homogeneous differential equation is:,dy/dx + P(x)y = Q(x),d≤y/dx≤ + P(x)dy/dx + Q(x)y = 0,"dy/dx = f(x,y)",d≤y/dx≤ = g(x),d≤y/dx≤ + P(x)dy/dx + Q(x)y = 0
127,Which method is best for solving linear ODEs with constant coefficients?,Method of Undetermined Coefficients,Separation of Variables,Euler's Method,Laplace Transforms only,Method of Undetermined Coefficients
128,The equation y'' + œâ≤y = 0 models:,Free fall under gravity,Exponential decay,Simple harmonic motion,Projectile trajectory,Simple harmonic motion
129,"For y'' + y = sin(x), the particular solution can be found using:",Laplace Transforms,Method of Undetermined Coefficients,Integrating Factor Method,Euler's Method,Method of Undetermined Coefficients
130,Laplace transform of f(t) = e^(at) is:,1/(s - a),s/(s≤ + a≤),1/s≤,a/(s≤ + a≤),1/(s - a)
131,The Laplace transform is defined as:,L{f(t)} = à´ÇÄ^z e^(-st) f(t) dt,L{f(t)} = à´ÇÄ^z e^(st) f(t) dt,L{f(t)} = à´_(-z)^z f(t) dt,L{f(t)} = à´ÇÄ^z t f(t) dt,L{f(t)} = à´ÇÄ^z e^(-st) f(t) dt
132,The Laplace transform of sin(at) is:,a/(s≤ + a≤),1/(s - a),s/(s≤ + a≤),1/s≤,a/(s≤ + a≤)
133,Which property of Laplace transforms helps solve ODEs with initial conditions?,Convolution property,Differentiation property,Shifting property,Scaling property,Differentiation property
134,The Laplace transform of (t) (Dirac delta function) is:,1,s,1/s,e^(-st),1
135,The Laplace transform of cos(at) is:,s/(s≤ + a≤),a/(s≤ + a≤),1/(s - a),1/s≤,s/(s≤ + a≤)
136,The inverse Laplace transform of 1/s is:,e^t,t,1,sin(t),1
137,The inverse Laplace transform of 1/(s≤ + a≤) is:,cos(at),sin(at)/a,e^(at),t^n/n!,sin(at)/a
138,Laplace transforms are especially useful in solving:,Nonlinear ODEs only,Linear ODEs with initial conditions,Partial differential equations,Integral inequalities,Linear ODEs with initial conditions
139,The convolution theorem in Laplace transforms is used to:,Find transforms of products of functions,Solve initial-value problems,Find inverse transforms of products in s-domain,Simplify partial fractions,Find inverse transforms of products in s-domain
140,Which method is used to numerically approximate ODE solutions?,Euler's Method,Laplace Transform,Undetermined Coefficients,Separation of Variables,Euler's Method
141,The equation dy/dx = ky has which type of solution behavior when k > 0?,Exponential growth,Exponential decay,Oscillation,Constant solution,Exponential growth
142,The ODE dy/dx = -y has a solution that represents:,Exponential growth,Exponential decay,Logarithmic growth,Linear decrease,Exponential decay
143,Which equation is solved using separation of variables?,dy/dx = yx,d≤y/dx≤ + y = 0,dy/dx + y = sin(x),d≥y/dx≥ + y = 0,dy/dx = yx
144,The integrating factor for dy/dx + P(x)y = Q(x) is:,e^(à´P(x) dx),à´P(x) dx,1/P(x),Q(x)/P(x),e^(à´P(x) dx)
145,The ODE y'' - 2y' + y = 0 has what type of solution?,Exponential with distinct roots,Exponential with repeated roots,Oscillatory solution,Polynomial solution,Exponential with repeated roots
146,The characteristic equation for y'' + 4y = 0 is:,r≤ + 4 = 0,r≤ - 4 = 0,r + 4 = 0,r≤ + r + 4 = 0,r≤ + 4 = 0
147,The solution of y'' + 4y = 0 is:,y = Ae^(2x) + Be^(-2x),y = A cos(2x) + B sin(2x),y = Cx + D,y = Ce^(4x),y = A cos(2x) + B sin(2x)
148,The Laplace transform of 1 is:,1/s,s,1/s≤,e^(-s),1/s
149,Laplace transform of t is:,1/s≤,1/s,s/(s≤ + 1),e^(-st),1/s≤
150,The Laplace transform of e^(-at) is:,1/(s + a),1/(s - a),s/(s≤ + a≤),a/(s≤ + a≤),1/(s + a)
151,Laplace transform is mainly applied in:,Circuit analysis,Geometry,Probability,Combinatorics,Circuit analysis
152,The Laplace transform of a derivative reduces differential equations to:,Algebraic equations,Integral equations,Polynomial equations,Trigonometric equations,Algebraic equations
153,Laplace transform of Heaviside step function u(t-a) is:,e^(-as)/s,1/s,s/(s≤ + a≤),1/(s-a),e^(-as)/s
154,Inverse Laplace of 2/s is:,2,e^(2t),2t,sin(2t),2
155,The Laplace transform of cosh(at) is:,s/(s≤ - a≤),a/(s≤ + a≤),1/(s - a),s/(s≤ + a≤),s/(s≤ - a≤)
156,Laplace transform of sinh(at) is:,a/(s≤ - a≤),s/(s≤ + a≤),1/s≤,1/(s-a),a/(s≤ - a≤)
157,Inverse Laplace of 1/(s-3) is:,e^(3t),e^(-3t),3t,sin(3t),e^(3t)
158,Laplace transform can handle inputs such as:,Unit step,Impulse,Periodic functions,All of the above,All of the above
160,The unit step function u(t-a) is equal to:,"0 for t < a, 1 for t â• a","1 for t < a, 0 for t â• a",t-a,a/t,"0 for t < a, 1 for t â• a"
161,The Laplace transform of a periodic function with period T is:,1/(1 - e^(-sT)) à´ÇÄ^T e^(-st) f(t) dt,à´ÇÄ^z e^(-st) f(t) dt,f(t)/T,e^(-sT) f(t),1/(1 - e^(-sT)) à´ÇÄ^T e^(-st) f(t) dt
162,Which of the following is NOT an application of Laplace transforms?,Solving linear ODEs,Solving PDEs with separation of variables,Circuit analysis,Control systems,Solving PDEs with separation of variables
163,Laplace transform of t^n is:,n!/s^(n+1),1/s^n,s^n/n!,t^n/s,n!/s^(n+1)
164,Inverse Laplace of s/(s≤ + 9) is:,cos(3t),sin(3t),e^(3t),t,cos(3t)
165,Inverse Laplace of 3/(s≤ + 9) is:,cos(3t),sin(3t),e^(3t),t,sin(3t)
166,Which of the following is the polar form of a complex number z = x + iy?,z = r cosi∏,z = r(cosi∏ + i sini∏),z = x≤ + y≤,z = e^(ix),z = r(cosi∏ + i sini∏)
167,The modulus of the complex number z = 3 - 4i is:,5,7,25,1,5
168,Euler's formula expresses e^(i) as:,cosi∏ + i sini∏,cosi∏ - i sini∏,tani∏ + i coti∏,sini∏ + cosi∏,cosi∏ + i sini∏
169,"If z1 = 2 + 3i and z2 = 1 - i, then z1 * z2 =",5 + i,2 - i,5 + 5i,3 + i,5 + i
170,The conjugate of z = 6 - 8i is:,6 + 8i,-6 - 8i,8 - 6i,-6 + 8i,6 + 8i
171,Which of the following best represents an Argand diagram?,A diagram of vectors in 3D,A plot of real and imaginary parts of complex numbers,A graph of exponential functions,A trigonometric circle,A plot of real and imaginary parts of complex numbers
172,"In electrical engineering, the imaginary unit i is often replaced with:",j,k,z,Œ∏,j
173,The roots of the quadratic equation z≤ + 1 = 0 are:,±i,±1,0 and i,1 and -i,±i
174,"If z = e^(iœÄ), then z equals:",0,-1,1,i,-1
175,The magnitude of impedance Z = R + iX is given by:,R≤ + X≤,àö(R≤ + X≤),R + X,R/X,àö(R≤ + X≤)
176,The Fourier series represents a periodic function as a sum of:,Polynomials,Exponential terms only,Sines and cosines,Logarithmic functions,Sines and cosines
178,The Fourier transform converts a function of time into a function of:,Amplitude,Frequency,Phase,Power,Frequency
179,Which of the following series diverges?,Geometric series with |r| < 1,Harmonic series,Alternating series,p-series with p > 1,Harmonic series
180,A function is said to be periodic if:,f(x+T) = f(x) for all x,f(x+T) = f(x) + 1,f(x) is bounded,f(x) is continuous,f(x+T) = f(x) for all x
181,"In Fourier analysis, the coefficients a0, an, and bn represent:","Constant, cosine, and sine terms",Exponential coefficients,Polynomial degrees,Integration constants,"Constant, cosine, and sine terms"
182,Laplace and Fourier transforms are used mainly for:,Converting nonlinear equations to linear,Transforming differential equations into algebraic equations,Finding square roots,Integrating trigonometric functions,Transforming differential equations into algebraic equations
183,The Fourier transform of (t) (Dirac delta function) is:,1,0,(f),z,1
184,A Taylor series expansion approximates a function using:,Trigonometric identities,Derivatives at a point,Random values,Matrix transformations,Derivatives at a point
185,The convergence of a series depends mainly on:,The ratio of terms,The sum of terms,The degree of polynomials,The limit of integration,The ratio of terms
186,The general solution of dy/dx = 2y is:,y = 2x,y = e^(2x),y = Ce^(2x),y = 2 + x,y = Ce^(2x)
187,Which method is commonly used to solve first-order linear ODEs?,Integration by parts,Separation of variables,Fourier series,Laplace transforms,Separation of variables
188,The wave equation is classified as a:,First-order ODE,Second-order PDE,First-order PDE,Algebraic equation,Second-order PDE
189,The heat equation is an example of:,Ordinary differential equation,Partial differential equation,Integral equation,Polynomial equation,Partial differential equation
190,The complementary function in ODEs is associated with:,Homogeneous solutions,Particular solutions,Boundary conditions,Initial conditions,Homogeneous solutions
191,Laplace transforms are often applied to:,Boundary value problems,Initial value problems,Both initial and boundary value problems,None of these,Initial value problems
192,"If d≤y/dx≤ = 0, the general solution is:",y = C1 + C2x,y = C1 e^x,y = sin x,y = C1 e^x + C2 e^(-x),y = C1 + C2x
193,A system of ODEs describes:,One dependent variable,Multiple dependent variables,One independent variable,Constant functions only,Multiple dependent variables
194,The order of the equation y'' + y' + y = 0 is:,1,2,3,0,2
195,The Laplace transform of y'(t) is:,sY(s) - y(0),s≤Y(s),Y(s)/s,1/s,sY(s) - y(0)
196,Gaussian elimination is used to solve:,Nonlinear equations,Linear systems of equations,Differential equations,Integral equations,Linear systems of equations
197,A system of equations has a unique solution if:,Determinant = 0,Determinant â† 0,It is nonlinear,There are more unknowns than equations,Determinant â† 0
198,Newton-Raphson method is used for:,Linear equations,Nonlinear equations,Partial derivatives,Fourier transforms,Nonlinear equations
199,The Gauss-Seidel method is classified as a:,Direct method,Iterative method,Transform method,Approximation method,Iterative method
200,Cramer's rule uses:,Determinants,Integrals,Fourier transforms,Taylor series,Determinants
201,The Jacobi method is used to solve:,Differential equations,Simultaneous equations,Improper integrals,Eigenvalue problems,Simultaneous equations
202,Which of the following is nonlinear?,x + y = 5,xy = 10,2x + 3y = 7,x - y = 4,xy = 10
203,"For Ax = b, the matrix A is called:",Coefficient matrix,Augmented matrix,Inverse matrix,Diagonal matrix,Coefficient matrix
204,LU decomposition is used for solving:,Nonlinear equations,Linear equations,Differential equations,Integral equations,Linear equations
205,"If determinant of coefficient matrix is 0, the system is:",Consistent with unique solution,Inconsistent or has infinite solutions,Always consistent,None of the above,Inconsistent or has infinite solutions
206,Numerical differentiation is often done using:,Finite differences,Integration,Laplace transforms,Fourier transforms,Finite differences
207,Trapezoidal rule is used for:,Numerical differentiation,Numerical integration,Numerical optimization,Solving ODEs,Numerical integration
208,Simpson's rule improves accuracy by using:,Straight lines,Parabolas,Cubic functions,Exponential functions,Parabolas
209,Which of the following is a numerical optimization method?,Newton's method,Gradient descent,Fourier transform,Laplace transform,Gradient descent
210,Euler's method is used to approximate solutions of:,ODEs,PDEs,Series,Nonlinear equations,ODEs
211,The error in the trapezoidal rule is proportional to:,h,h≤,h≥,hÅ¥,h≤
212,Numerical integration is useful when:,The integral is difficult or impossible analytically,The function is polynomial,The derivative is easy,The Fourier series is known,The integral is difficult or impossible analytically
213,Golden section search is used in:,Differentiation,Integration,Optimization,Laplace transforms,Optimization
214,Runge-Kutta methods are widely used for:,Numerical ODE solving,Numerical integration,Fourier transforms,Linear algebra,Numerical ODE solving
215,Which of the following is a disadvantage of numerical methods?,They provide approximate results,They are always exact,They can handle complex problems,They work for nonlinear cases,They provide approximate results
216,Which of the following is considered primary data collection?,Census survey,Company financial reports,Government publications,Textbook references,Census survey
217,Secondary data refers to:,Data collected first-hand,Data previously collected by others,Data collected by experiments,Data collected only through interviews,Data previously collected by others
218,Which of the following is NOT a data collection method?,Observation,Interview,Regression,Questionnaire,Regression
219,A population refers to:,A subset of individuals selected for analysis,The entire group of individuals of interest,Only numerical data,A fixed sample size,The entire group of individuals of interest
220,Which data type consists of attributes like gender or color?,Continuous,Ordinal,Nominal,Ratio,Nominal
221,Quantitative data refers to:,Data that represents categories,Data that can be measured numerically,Data from literature reviews,Data without numerical value,Data that can be measured numerically
222,A structured interview is considered:,Unsystematic data collection,Qualitative data collection,Primary data collection,Secondary data collection,Primary data collection
223,Which is a disadvantage of primary data?,Up-to-date information,Expensive and time-consuming,Specific to the researcher's needs,High accuracy,Expensive and time-consuming
224,Which data collection method is best for sensitive topics?,Direct observation,Personal interview,Anonymous questionnaire,Telephone survey,Anonymous questionnaire
