ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
51,"If an antenna has 100 W input and radiates 85 W, what is its radiation efficiency?",65%,75%,85%,95%,85%
52,A 2-meter antenna has a main lobe beamwidth of 5° in azimuth and 5° in elevation. Estimate the antenna gain.,26 dBi,30 dBi,34 dBi,38 dBi,34 dBi
53,"A transmitting antenna radiates 100 W. What is the power density 100 meters away, assuming isotropic radiation?",0.00796 W/m²,0.0796 W/m²,0.796 W/m²,7.96 W/m²,0.00796 W/m²
54,Which of the following is true for an ideal isotropic antenna?,Has a gain of 0 dBd,Radiates in one direction,Has infinite directivity,Has a radiation resistance of 100 Ω,Has a gain of 0 dBd
55,Calculate the beamwidth product (θ_E * θ_H) required to achieve a gain of 30 dBi.,20 deg²,35 deg²,50 deg²,75 deg²,41.25 deg²
56,"If a 100 MHz antenna is shortened by 5%, what is the new resonant frequency?",95 MHz,100 MHz,105 MHz,110 MHz,105 MHz
57,A lossless antenna has a gain of 6 dBi. What is its directivity?,6 dBi,5 dBi,7 dBi,6 dBd,6 dBi
58,The function of a balun is to:,Match impedance,Convert balanced to unbalanced line,Increase gain,Reduce losses,Convert balanced to unbalanced line
59,"If a parabolic dish operates at 12 GHz and has a 1-meter diameter with 55% efficiency, what is the gain in dBi?",35.6 dBi,39.2 dBi,41.8 dBi,43.5 dBi,39.2 dBi
60,A 20 W transmitter uses an antenna with a gain of 14 dBi. What is the EIRP in watts?,50 W,200 W,500 W,1000 W,500 W
61,"A signal of 100 MHz is applied to a half-wave dipole. What is its physical length, considering 95% velocity factor?",1.35 m,1.42 m,1.50 m,1.58 m,1.42 m
62,What is the reflection coefficient for an antenna with load impedance of 100 ohms and a line impedance of 50 ohms?,0.2,0.33,0.5,1.0,0.33
63,"Calculate the received power using the Friis transmission equation with: Pt=10 W, Gt=10 dBi, Gr=10 dBi, d=100 m, f=2.4 GHz.",-30 dBm,-40 dBm,-50 dBm,-60 dBm,-40 dBm
64,Which antenna configuration offers the widest bandwidth?,Dipole,Monopole,Log-periodic,Loop,Log-periodic
65,A λ/4 monopole antenna has what gain compared to an isotropic radiator?,0 dBi,1.76 dBi,2.15 dBi,5.15 dBi,5.15 dBi
66,An antenna with high gain typically has what characteristic?,Wide beamwidth,High efficiency,Narrow beamwidth,Low radiation resistance,Narrow beamwidth
67,A 10 dB decrease in power corresponds to what change in power level?,Divided by 2,Divided by 5,Divided by 10,Divided by 100,Divided by 10
68,A dipole has an effective aperture of 0.13 m² at 900 MHz. What is its gain?,2.15 dBi,3.5 dBi,4.2 dBi,5.1 dBi,2.15 dBi
69,A loop antenna is most efficient at which frequency range?,VLF,LF,VHF,UHF,VLF
70,Which antenna parameter is inversely proportional to bandwidth?,Q factor,Gain,VSWR,Aperture,Q factor
71,The impedance of free space is approximately:,75 ohms,120 ohms,377 ohms,500 ohms,377 ohms
72,What is the power gain of an antenna that radiates 10 W with an input of 5 W?,0.5,1.0,2.0,4.0,2.0
73,"Calculate the received power (in dBm) at 2.4 GHz, 10 km distance, with Pt = 1 W, Gt = 10 dBi, Gr = 10 dBi.",-60 dBm,-70 dBm,-80 dBm,-90 dBm,-80 dBm
74,What is the polarization of a wave whose E-field rotates in a circle as it propagates?,Linear,Vertical,Horizontal,Circular,Circular
75,What is the typical radiation pattern shape of a dipole antenna?,Figure-8,Omnidirectional,Cardioid,Cone,Figure-8
76,A 5 W transmitter is connected to a 9 dBd antenna. What is the EIRP?,10 W,20 W,40 W,80 W,80 W
77,"At 2.4 GHz, what is the wavelength of a signal in free space?",0.10 m,0.125 m,0.15 m,0.18 m,0.125 m
78,A high-gain parabolic antenna has a narrow beamwidth. This implies:,Low directivity,Low efficiency,High directivity,High VSWR,High directivity
