ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
22,Find the slope of the normal to y = x^2 at x = 2.,4-Jan,-1/4,-1/2,-1/8,-1/4
23,"If y = ln(sin x), find dy/dx.",cot x,csc x,tan x,-cot x,cot x
24,Evaluate lim (to 0) (1 - cos x)/x^2.,0,1,2-Jan,inf ,2-Jan
25,A spherical balloon radius increases at 3 cm/s. Find the rate of change of volume when radius = 5 cm.,300 pi cm³/s,200 pi cm³/s,400 pi cm³/s,500 pi cm³/s,300 pi cm³/s
26,"Find second partial derivative of the function with respect to x if f(x,y) = x^3 y + 4y.",6xy,3x^2y,2x,0,6xy
27,Evaluate integral of dx/(1+x^2).,arctan(x) + C,ln(1+x^2) + C,1/(1+x) + C,tan^-1(x^2) + C,arctan(x) + C
28,Find the nth derivative of e^(ax).,a^n e^(ax),n! e^(ax),e^(ax+n),a^n,a^n e^(ax)
29,Evaluate integral of (1/x^2) dx.,-1/x + C,ln x + C,1/x + C,-ln x + C,-1/x + C
30,"If f(x) = x^3, find second derivative of at x = 2.",6,12,4,3,6
31,Evaluate lim (to inf ) (2x^2 + 3)/(5x^2 - 7).,0,5-Feb,inf ,1,5-Feb
32,"If y = cos^-1(x), compute dy/dx.",-1/sqrt(1-x^2),1/sqrt(1-x^2),-sqrt(1-x^2),sqrt(1-x^2),-1/sqrt(1-x^2)
33,"A cone radius 4 cm, height 12 cm is filled. Water level rises at 2 cm/min. Find rate of volume increase when water is 6 cm high.",48 pi cm³/min,36 pi cm³/min,24 pi cm³/min,12 pi cm³/min,48 pi cm³/min
34,Evaluate integral of cos^3(x) dx.,(sin x - sin^3x/3) + C,sin^3x/3 + C,cos^2x/2 + C,sin x cos^2x + C,(sin x - sin^3x/3) + C
35,Find dy/dx if y = x^x.,x^x(1+ln x),x^x(1-ln x),ln(x^x),xx-1,x^x(1+ln x)
36,Evaluate integral of sec^2x dx.,tan x + C,sec x + C,ln|sec x + tan x| + C,cos x + C,tan x + C
37,Find d/dx (ln|tan x|).,sec^2x / tan x,cot x,csc^2x,tan x,sec^2x / tan x
38,"If f(x) = x^4 - 4x^3 + 6x^2 - 4x + 1, find point of inflection.",x=0,x=1,x=2,x=3,x=1
39,Evaluate lim (to 0) (tan x)/x.,0,1,inf ,cos x,1
40,"Find ˆ‚f/ˆ‚y if f(x,y) = e^(xy).",x e^(xy),y e^(xy),e^(xy),xy e^(xy),x e^(xy)
41,A 5 m ladder leans against wall. Base moves 0.5 m/s outward. Find top's speed down when base is 3 m away.,0.4 m/s,0.6 m/s,0.8 m/s,1.0 m/s,0.4 m/s
42,Evaluate integral of (1/(1+e^x)) dx.,x - ln(1+e^x) + C,ln(1+e^x) + C,tan^-1(e^x) + C,1/(1+e^x) + C,x - ln(1+e^x) + C
43,Find nth derivative of sin(ax).,a^n sin(ax + n pi/2),a^n cos(ax),sin^n(ax),cos(ax + n),a^n sin(ax + n pi/2)
44,"If f(x) = tan^-1(x), compute f prime of x.",1/(1+x^2),-1/(1+x^2),1/x,tan x,1/(1+x^2)
45,Evaluate integral of (x e^(x^2)) dx.,(1/2)e^(x^2) + C,2e^(x^2) + C,ln(x^2) + C,(1/2)x^2 e^(x^2) + C,(1/2)e^(x^2) + C
46,"Find dy/dx if x^2 + xy + y^2 = 7 at point (2,1).",-1,-2,-3,-1/2,-1
47,Evaluate integral of dx/(sqrt(1-x^2)).,sin^-1(x) + C,cos^-1(x) + C,tan^-1(x) + C,ln(1-x^2) + C,sin^-1(x) + C
48,"If y = ln(x^2+1), compute second derivative of.",2(1-x^2)/(x^2+1)^2,2/(x^2+1),-2x/(x^2+1),2x/(x^2+1)^2,2(1-x^2)/(x^2+1)^2
49,Find the Laplace transform of f(t) = e^(-2t).,1/(s+2),s/(s+2),1/(s-2),s/(s-2),1/(s+2)
50,Solve the differential equation dy/dx = 3x^2 with y(0)=2.,y = x^3 + 2,y = x^3 - 2,y = 3x^3 + 2,y = x^3,y = x^3 + 2
51,Find the general solution of dy/dx + y = 0.,y = Ce^(-x),y = Ce^x,y = x+C,y = Cx^2,y = Ce^(-x)
52,Compute the Laplace transform of f(t) = cos(2t).,s/(s^2+4),1/(s^2+4),2/(s^2+4),s/(s^2-4),s/(s^2+4)
53,Find the inverse Laplace transform of F(s) = 1/(s^2+9).,(1/3)sin(3t),cos(3t),e^(-3t),sin(9t),(1/3)sin(3t)
54,Solve: y'' - y = 0.,y = C1e^x + C2e^(-x),y = C1sinx + C2cosx,y = C1e^(2x) + C2,y = C1x + C2,y = C1e^x + C2e^(-x)
55,"If y'' + 9y = 0 with y(0)=0, y'(0)=1, find y(t).",(1/3)sin(3t),cos(3t),e^(-3t),t sin(3t),(1/3)sin(3t)
56,Solve the ODE: dy/dx = y.,y = Ce^x,y = e^(x^2),y = Cx,y = ln x,y = Ce^x
57,Find the Laplace transform of f(t) = t.,1/s^2,s/(s^2+1),1/s,t/s,1/s^2
58,Solve y'' + y' - 2y = 0.,y = C1e^x + C2e^(-2x),y = C1e^(-x) + C2e^x,y = C1sinx + C2cosx,y = C1x^2 + C2,y = C1e^x + C2e^(-2x)
59,"Find the Fourier series of f(x) = x on [- pi,  pi].",2summation of  (-1)^n/n sin(nx), pi + summation of  cos(nx),summation of  sin(nx)/n,x^2/2,2summation of  (-1)^n/n sin(nx)
60,Find the Laplace transform of sin(at).,a/(s^2+a^2),1/(s^2+a^2),s/(s^2+a^2),a/(s+a),a/(s^2+a^2)
61,"Solve y' = (y/x), y(1)=2.",y=2x,y=x^2,y=2/x,y=ln x,y=2x
62,Find the Laplace transform of f(t) = e^(-2t)sin(3t).,3/((s+2)^2+9),s/((s+2)^2+9),1/(s+2),3/(s^2+9),3/((s+2)^2+9)
63,"Solve the system: x + y = 5, 2x - y = 1.","x=2, y=3","x=3, y=2","x=1, y=4","x=4, y=1","x=2, y=3"
64,Find the Laplace transform of delta (t-2) (Dirac  delta ).,e^(-2s),theta´(s-2),1/(s-2),2e^(-s),e^(-2s)
65,Find the power series of cos x about x=0 up to x^4.,1 - x^2/2 + x^4/24,1 - x^2/2 + x^3/6,x - x^3/3!,1 + x^2/2,1 - x^2/2 + x^4/24
66,Solve dy/dx = (x+y).,y = -x-1+Ce^x,y = x+Ce^x,y = e^x,y = Ce^(-x),y = -x-1+Ce^x
67,Find the Laplace transform of unit step function u(t-a).,e^(-as)/s,1/(s-a),s/(s+a),e^(-at),e^(-as)/s
68,Solve the PDE: partial derivative of a function with respect to x= partial derivative of a function with respect to y.,"u(x,y)=f(x+y)","u(x,y)=f(x-y)","u(x,y)=x+y","u(x,y)=xy","u(x,y)=f(x+y)"
69,Solve y'' + 4y = 0.,y=C1cos(2x)+C2sin(2x),y=C1e^(2x)+C2e^(-2x),y=C1cos(4x)+C2sin(4x),y=C1x+C2,y=C1cos(2x)+C2sin(2x)
70,Find the Laplace transform of f(t)=t e^(-at).,1/(s+a)^2,s/(s+a),1/(s+a),t/(s+a),1/(s+a)^2
71,Solve dy/dx = (x^2+y^2).,"Nonlinear, not solvable in elementary form",y=tan x,y=sin x,y=e^x,"Nonlinear, not solvable in elementary form"
72,"If Z = 3+4j, find |Z|.",5,7,25,1,5
73,Compute (1+j)/(1-j).,j,-j,1,-1,j
74,Find the inverse Laplace transform of F(s) = s/(s^2+4).,cos(2t),sin(2t),e^(-2t),t cos(2t),cos(2t)
75,Find the Laplace transform of cosh(at).,s/(s^2-a^2),s/(s^2+a^2),1/(s^2-a^2),a/(s^2-a^2),s/(s^2-a^2)
76,"Solve system: x+y+z=6, x-y+z=2, 2x+z=7.","x=2,y=1,z=3","x=1,y=2,z=3","x=3,y=2,z=1","x=2,y=2,z=2","x=2,y=1,z=3"
77,Find the Laplace transform of f(t)=u(t-1).,e^(-s)/s,1/(s+1),s/(s+1),e^(-t),e^(-s)/s
78,"If Z1=2modulo30°, Z2=3modulo60°, compute Z1Z2.",6modulo90°,5modulo60°,6modulo30°,6modulo180°,6modulo90°
79,Compute the Laplace transform of Heaviside(t-a).,e^(-as)/s,1/s,theta´(s-a),1/(s+a),e^(-as)/s
80,Find the Bessel function solution of y''+x y=0.,J0(x),J1(x),Y0(x),cos x,J0(x)
81,Find summation of  (1/n^2) from n=1 to inf ., pi^2/6, pi^2/8,1,2, pi^2/6
82,Find Laplace of f(t)=cos(2t)u(t-3).,e^(-3s)(s cos2t),e^(-3s)(s/(s^2+4)),s/(s^2+4),e^(-2s)/(s^2+4),e^(-3s)(s/(s^2+4))
83,Solve PDE: second partial derivative of a function with respect to x = second partial derivative of a function with respect to t,Heat equation,Wave equation,Laplace's equation,Poisson's equation,Heat equation
84,Find inverse Laplace of 1/(s^2+1).,sin t,cos t,e^(-t),t sin t,sin t
85,"If f(x)=e^x, find Maclaurin series up to x^2.",1+x+x^2/2,1+x+x^3/6,1+x^2/2,x+x^2,1+x+x^2/2
86,Find Laplace transform of f(t)=cos(at).,s/(s^2+a^2),a/(s^2+a^2),1/(s+a),1/s,s/(s^2+a^2)
87,"Find solution of dy/dx + 2y = 4, y(0)=1.",y=2-e^(-2x),y=2+e^(-2x),y=4-2e^(-2x),y=e^(2x),y=2-e^(-2x)
88,"If matrix A=[[2,1],[1,2]], find eigenvalues.","3,1","2,2","-1,3","0,4","3,1"
89,Find Laplace transform of unit impulse delta (t).,1,s,e^(-t),theta´(s),1
90,Find summation of _{n=1}^inf  (-1)^(n+1)/n.,ln 2, pi/4,1,0,ln 2
91,Solve PDE: second partial derivative of a function with respect to x+second partial derivative of a function with respect to y=0.,Laplace's equation,Wave equation,Heat equation,Poisson's equation,Laplace's equation
92,Find Z transform of delta [n].,1,z,1/z,z-1,1
93,Solve differential eq: dy/dx=x^2 y.,y=Ce^(x^3/3),y=Ce^(x^2),y=Cx^3,y=ln x,y=Ce^(x^3/3)
94,Find Laplace transform of sinh(at).,a/(s^2-a^2),s/(s^2-a^2),1/(s-a),a/(s^2+a^2),a/(s^2-a^2)
95,"If A=[[0,1],[-1,0]], eigenvalues are?",±j,±1,"0,0","1,-1",±j
96,"Solve: dy/dx=2y, y(0)=3.",y=3e^(2x),y=2e^(3x),y=6x,y=3x^2,y=3e^(2x)
97,"The mean of the data set {2, 4, 6, 8, 10} is:",5,6,7,8,6
102,The expected value of a fair die roll is:,3,3.5,4,3.25,3.5
103,"If sample mean=50, population mean=48, Ïƒ=4, n=16, compute z-test statistic.",2,1,0.5,4,2
104,A 95% confidence interval means:,95% of data lies in the interval,95% chance true mean is in interval,95% of sample is within mean,interval always correct,95% chance true mean is in interval
105,"In regression y=a+bx, if correlation r=0, slope b is:",0,1,Undefined,Any value,0
106,"The mode of {1,2,2,3,4} is:",2,3,1,4,2
107,"If P-value <alpha in hypothesis testing, decision is:",Reject H0,Accept H0,Fail to reject H0,No decision,Reject H0
108,Standard deviation is square root of:,Variance,Mean,Median,Range,Variance
110,"For binomial distribution, mean=10, p=0.5. Find n.",20,10,5,15,20
112,"A sample has mean 20, Ïƒ=4, n=25. Find standard error.",0.8,1,0.4,2,0.8
113,"If regression slope=2, intercept=5, find y at x=3.",11,12,13,10,11
114,The probability density of normal distribution integrates to:,0,1,Ïƒ,theta¼,1
115,Chi-square test is used for:,Goodness of fit,Mean test,Regression slope,Variance only,Goodness of fit
116,"If population variance=16, sample variance=20, test is:",F-test,Z-test,t-test,Chi-square test,Chi-square test
117,"The gradient of phi=x^2y at (1,2,3) is:","(4,1,0)","(2,1,0)","(2,2,0)","(2,3,0)","(4,1,0)"
118,Find divergence of F=x i + y j + z k.,3,0,1,x+y+z,3
119,Find curl of F=y i + z j + x k.,"(1,1,1)","(0,0,0)","(-1,1,-1)","(2,-1,1)","(1,1,1)"
120,Evaluate divergence(r bar‚/r^2).,0,4 pitheta´(r),1/r,inf ,4 pitheta´(r)
121,"If phi=x^2+y^2+z^2, then nabla phi at (1,1,1) is:","(2,2,2)","(1,1,1)","(3,3,3)","(0,0,0)","(2,2,2)"
122,Find divergence of F=2x i + 3y j - z k.,4,2,0,6,4
123,"Apply Green's theorem: line integral C (x^2dy - y^2dx), C boundary of unit square.",0,2,-2,4,0
124,"If F=x i + y j, evaluate line integral line integral C F·dr around unit circle.",0,2 pi, pi,1,0
125,Stokes theorem relates line integral to:,Surface integral of curl F,Volume integral of divergence F,Gradient integral,Area only,Surface integral of curl F
126,"If F=(y,-x,0), curl F = ?","(0,0,-2)","(0,0,2)","(2,0,0)","(0,2,0)","(0,0,-2)"
127,The divergence theorem relates surface integral to:,Volume integral of div F,Line integral of curl F,Gradient integral,Flux only,Volume integral of div F
128,"Directional derivative of f=x^2y at (1,2) in dir i+j is:",4sqrt2,2sqrt2,3sqrt2,5sqrt2,4sqrt2
129,"If A=xi+yj+zk, find divergenceA.",3,x+y+z,0,1,3
130,"Find curl of F=(x^2, y^2, z^2).",0,"(2y,-2x,0)","(y-x,z-y,x-z)","(0,0,0)","(0,0,0)"
131,"Flux of F=(x,y,z) through surface of unit sphere:",4 pi,0,1, pi,4 pi
132,"If phi=xyz, compute nabla phi.","(yz,xz,xy)","(x,y,z)","(1,1,1)","(0,0,0)","(yz,xz,xy)"
133,"For F=(y,-x,0), divergence= ?",0,1,-1,2,0
134,"Evaluate line integral  F·dr for F=(-y,x), C unit circle.",2 pi, pi,0,1,2 pi
135,"If f=x^2+y^2, directional derivative at (1,1) along (3,4) is:",10,20,5,2,10
136,"If A=(z,0,0), curl A = ?","(0,0,0)","(0,1,0)","(0,0,1)","(1,0,0)","(0,0,0)"
137,"If div F=0, F is:",Solenoidal,Irrotational,Harmonic,Zero field,Solenoidal
138,"If curl F=0, F is:",Irrotational,Solenoidal,Zero,Constant,Irrotational
139,"If F=(2x,3y,4z), div F = ?",9,3,0,7,9
140,Line integral of grad phi over any closed path is:,0,phi,1,inf ,0
141,"If phi=x^2+y^2+z^2, Laplacian nabla ²phi = ?",6,2,3,0,6
142,"If F=(xi+yj), circulation around unit circle = ?",0,2 pi, pi,1,0
143,Flux of F=(xi+yj+zk) through cube side length a:,3a^3,a^3,6a^2,0,3a^3
144,"If div F=0 and curl F=0, then F is:",Constant vector,Zero vector,Nonexistent,Infinite,Constant vector
145,"Evaluate triple integral of div F dV over sphere radius R, F=r.",4/3  piR^3·3,0,R^2, piR^2,4/3  piR^3·3
146,Find the Z-transform of x[n] = a^n u[n].,1/(1-az^-1),1/(1-a),z/(z-a),1/(z-a),z/(z-a)
147,"If X(z) = z/(z-0.5), region of convergence (ROC) is:",|z|>0.5,|z|<0.5,All z,No ROC,|z|>0.5
148,Find inverse Z-transform of X(z)=z/(z-2).,2^n u[n],(-2)^n u[n],theta´[n],u[n],2^n u[n]
149,The convolution of delta [n] with any signal x[n] is:,x[n],theta´[n],0,1,x[n]
150,Find Z-transform of delta [n-1].,z^-1,1,z,0,z^-1
151,Autocorrelation of delta [n] is:,theta´[n],1,0,n,theta´[n]
152,The cross-correlation of two identical signals is:,Autocorrelation,Convolution,Impulse,Zero,Autocorrelation
153,"If x[n]=u[n], y[n]=theta´[n], then x[n]*y[n]=?",u[n],theta´[n],1,n,u[n]
154,"For a stable causal LTI system, ROC of Z-transform is:",Outside outermost pole,Inside innermost pole,Whole plane,No ROC,Outside outermost pole
155,Find poles of H(s)=1/(s^2+4s+3).,"-1,-3","1,3","-2,-2","0,-3","-1,-3"
156,"If poles are at s=-2,-5, system is:",Stable,Unstable,Marginally stable,Oscillatory,Stable
157,Find zeros of H(s)=(s+2)/(s^2+2s+1).,s=-2,s=-1,s=1,s=0,s=-2
158,Step response of 1st order system G(s)=1/(s+2) is:,(1-e^(-2t))u(t)/2,(1-e^(-t))u(t),e^(-2t),t e^(-2t),(1-e^(-2t))u(t)/2
159,"If transfer function has a pole at s=0, system is:",Marginally stable,Stable,Unstable,Divergent,Marginally stable
160,"In block diagrams, summing junction adds:",Signals algebraically,Signals multiplicatively,Noise,Feedback only,Signals algebraically
161,The steady-state error for a type-0 system to step input is:,Finite nonzero,Zero,Infinite,Oscillating,Finite nonzero
162,The steady-state error for a type-1 system to step input is:,Zero,Finite,Infinite,Oscillating,Zero
163,"If open-loop transfer function has gain margin=inf , phase margin>0, system is:",Stable,Unstable,Marginally stable,Oscillatory,Stable
164,"For unity feedback system G(s)=10/(s(s+1)), type is:",Type 1,Type 0,Type 2,Type -1,Type 1
165,Find damping ratio thetaxi if poles at s=-2±j2.,0.707,0.5,1,0,0.707
166,"For poles at s=-1±jsqrt3, natural frequency natural frequency is:",2,sqrt2,sqrt3,1,2
167,"Settling time Ts approx 4/(thetaxinatural frequency). If thetaxi=0.5, natural frequency=4, Ts=?",2,1,4,0.5,2
168,"Peak time Tp approx  pi/damped natural frequency. If damped natural frequency=5, Tp=?",0.628,0.314,1.57,2,0.628
169,The rise time Tr of 2nd order underdamped system is:,( pi-theta)/damped natural frequency, pi/natural frequency,4/theta natural frequency,theta/natural frequency,( pi-theta)/damped natural frequency
170,"If characteristic eq is s^2+4s+8=0, thetaxi=?",0.707,0.5,1,0.25,0.707
171,Phase margin is measured at:,Gain crossover frequency,Phase crossover frequency,natural frequency,damped natural frequency,Gain crossover frequency
172,Gain margin is measured at:,Phase crossover frequency,Gain crossover frequency,damped natural frequency,natural frequency,Phase crossover frequency
173,"For stable closed-loop system, all poles must lie:",Left half s-plane,Right half s-plane,Imaginary axis,Origin,Left half s-plane
174,"In signal flow graphs, Mason's gain formula is used to:",Find overall transfer function,Find poles only,Find zeros only,Find frequency response,Find overall transfer function
175,The Z-transform of u[n] is:,1/(1-z^-1),1,z/(z-1),z,z/(z-1)
176,Find poles of X(z)=z^2/(z^2-0.25).,±0.5,±2,"0,0.25","1,-1",±0.5
177,"Autocorrelation of x[n]={1,2} is:","{5,2,1}","{1,2,1}","{2,5,2}","{1,1,1}","{5,2,1}"
178,"For stable system, ROC of Z-transform must include:",Unit circle,Origin,Infinity,None,Unit circle
179,"If poles lie on imaginary axis, system is:",Marginally stable,Unstable,Stable,Oscillating with decay,Marginally stable
180,Block diagram reduction is used to:,Simplify transfer function,Find poles,Find zeros,Find step response only,Simplify transfer function
181,The final value theorem requires:,Poles in LHP except at origin,Poles in RHP,Any poles allowed,Zeros at infinity,Poles in LHP except at origin
182,Impulse response of 1st order system G(s)=1/(s+1) is:,e^(-t),1-e^(-t),theta´(t),t e^(-t),e^(-t)
183,Step response of G(s)=1/s is:,t u(t),theta´(t),e^(-t),1,t u(t)
184,The dominant poles determine:,Transient response,Steady-state error,Zeros,Type,Transient response
185,"If damping ratio thetaxi>1, system is:",Overdamped,Underdamped,Critically damped,Oscillatory,Overdamped
186,"If thetaxi=1, system is:",Critically damped,Overdamped,Underdamped,Oscillatory,Critically damped
187,"If thetaxi=0, system is:",Undamped oscillatory,Overdamped,Stable,Critically damped,Undamped oscillatory
188,Root locus plots show:,Pole movement with gain,Step response,Zeros only,Bode plot,Pole movement with gain
189,Phase margin >0 implies:,System stable,System unstable,System oscillatory,System divergent,System stable
190,Gain crossover frequency is where:,|G(jw)|=1,moduloG(jw)=-180°,Poles cross axis,Phase=0,|G(jw)|=1
191,Phase crossover frequency is where:,moduloG(jw)=-180°,|G(jw)|=1,Phase=0,Gain=0,moduloG(jw)=-180°
